"Applied filters:
casden is before 01 January 2023";
;
Cesta;Počet cest
C Pražského povstání → C Kačerov;229 666
C Kačerov → C Roztyly;229 563
A Dejvická → A Jiřího z Poděbrad;229 451
C Pankrác → C Kobylisy;228 967
C Vyšehrad → C Budějovická;228 759
B Hloubětín → B Vysočanská;228 474
B Luka → B Zličín;227 343
C Florenc → C Pražského povstání;227 200
C Muzeum → C Vltavská;227 132
B Smíchovské nádraží → B Radlická;226 988
B Nové Butovice → B Národní třída;226 921
A Bořislavka → A Nádraží Veleslavín;226 861
A Flora → A Skalka;226 732
C Opatov → C Pankrác;226 060
A Želivského → A Muzeum;225 449
A Hradčanská → A Náměstí Míru;224 750
A Strašnická → A Skalka;224 318
B Stodůlky → B Anděl;223 580
C Háje → C Opatov;222 529
A Dejvická → A Skalka;222 506
C I. P. Pavlova → C Roztyly;222 313
B Karlovo náměstí → B Můstek;221 959
A Můstek → A Malostranská;221 606
B Černý Most → B Smíchovské nádraží;220 251
B Českomoravská → B Náměstí Republiky;219 561
A Náměstí Míru → A Staroměstská;219 218
B Karlovo náměstí → B Vysočanská;218 457
A Nádraží Veleslavín → A Hradčanská;218 450
A Muzeum → A Strašnická;218 186
B Můstek → B Náměstí Republiky;217 791
C Roztyly → C Kačerov;217 735
B Karlovo náměstí → B Lužiny;217 556
C Střížkov → C Florenc;217 362
A Bořislavka → A Nemocnice Motol;217 260
B Karlovo náměstí → B Florenc;216 546
A Nemocnice Motol → A Nádraží Veleslavín;216 487
C Háje → C Hlavní nádraží;215 715
B Černý Most → B Křižíkova;215 522
B Anděl → B Českomoravská;214 707
B Stodůlky → B Karlovo náměstí;213 806
B Národní třída → B Palmovka;213 768
A Dejvická → A Flora;213 503
A Nádraží Veleslavín → A Nemocnice Motol;212 449
C Nádraží Holešovice → C Budějovická;212 397
B Smíchovské nádraží → B Vysočanská;212 384
B Můstek → B Vysočanská;212 006
C Vltavská → C Nádraží Holešovice;211 400
B Karlovo náměstí → B Stodůlky;211 120
B Palmovka → B Rajská zahrada;211 005
B Hůrka → B Karlovo náměstí;210 105
C Kačerov → C Vyšehrad;209 930
B Náměstí Republiky → B Rajská zahrada;209 733
A Hradčanská → A Nádraží Veleslavín;209 698
A Skalka → A Strašnická;209 592
C Hlavní nádraží → C Háje;208 768
A Skalka → A Náměstí Míru;208 622
C Kobylisy → C Ládví;208 376
C Pankrác → C Opatov;208 346
C Florenc → C Vyšehrad;208 244
C Letňany → C Ládví;207 619
C Opatov → C Hlavní nádraží;207 211
B Anděl → C Kobylisy;207 148
C Chodov → C Roztyly;207 092
B Českomoravská → B Anděl;206 946
B Karlovo náměstí → B Hůrka;205 298
B Rajská zahrada → B Palmovka;204 789
C Vyšehrad → C Pankrác;204 602
C Vltavská → C Pankrác;204 486
B Křižíkova → B Černý Most;203 791
B Palmovka → B Vysočanská;203 644
A Nemocnice Motol → A Bořislavka;202 967
C Ládví → C Letňany;202 575
A Petřiny → A Nemocnice Motol;202 223
B Vysočanská → B Karlovo náměstí;201 876
A Muzeum → A Skalka;200 470
A Flora → A Muzeum;199 415
C Chodov → C Vyšehrad;199 265
B Anděl → B Stodůlky;198 189
A Dejvická → A Malostranská;197 919
A Dejvická → A Strašnická;197 819
A Strašnická → A Dejvická;197 760
A Staroměstská → A Jiřího z Poděbrad;197 319
A Můstek → A Muzeum;196 588
B Luka → B Anděl;195 828
C Budějovická → C Nádraží Holešovice;195 804
B Karlovo náměstí → B Českomoravská;195 782
C Opatov → C Florenc;195 243
B Luka → B Karlovo náměstí;194 895
B Vysočanská → B Smíchovské nádraží;193 066
A Skalka → A Staroměstská;193 050
C Roztyly → C Chodov;192 215
C Vltavská → C Střížkov;191 882
B Můstek → B Českomoravská;191 825
B Palmovka → B Českomoravská;191 561
C Nádraží Holešovice → C Střížkov;191 272
B Národní třída → B Nové Butovice;191 043
B Anděl → B Jinonice;190 722
B Palmovka → B Florenc;190 128
B Zličín → B Národní třída;189 630
C Hlavní nádraží → C Opatov;189 064
B Vysočanská → B Palmovka;188 946
C Florenc → C Opatov;188 541
C Střížkov → C Nádraží Holešovice;188 432
C Kobylisy → C Kačerov;188 095
B Florenc → B Karlovo náměstí;187 371
B Náměstí Republiky → B Florenc;187 215
C Kačerov → C Kobylisy;186 964
A Nemocnice Motol → A Hradčanská;186 884
A Staroměstská → A Můstek;186 762
A Hradčanská → A Jiřího z Poděbrad;186 058
B Českomoravská → B Můstek;184 751
A Muzeum → A Želivského;184 475
A Skalka → A Hradčanská;184 474
A Skalka → A Jiřího z Poděbrad;183 170
A Skalka → A Flora;182 934
B Rajská zahrada → B Náměstí Republiky;182 488
B Vysočanská → B Národní třída;182 484
C Kačerov → C Vltavská;182 316
C Vltavská → C Kačerov;182 118
C I. P. Pavlova → C Střížkov;181 176
A Můstek → A Staroměstská;181 154
A Bořislavka → A Staroměstská;180 557
B Smíchovské nádraží → B Křižíkova;180 434
A Muzeum → A Jiřího z Poděbrad;179 972
A Nádraží Veleslavín → A Náměstí Míru;179 670
B Florenc → B Národní třída;178 676
A Dejvická → C Chodov;178 614
B Zličín → B Lužiny;178 320
C Pankrác → C Vltavská;177 521
A Flora → A Strašnická;176 498
C Budějovická → C Roztyly;176 285
B Můstek → B Rajská zahrada;175 715
C Střížkov → C Vltavská;175 662
A Skalka → A Želivského;175 588
C Muzeum → C Střížkov;175 267
B Zličín → B Nové Butovice;175 246
B Florenc → B Můstek;174 998
C Chodov → A Dejvická;174 638
B Nové Butovice → B Zličín;174 266
A Flora → A Hradčanská;174 244
C Roztyly → C Budějovická;174 062
B Národní třída → B Florenc;173 919
B Můstek → B Karlovo náměstí;173 907
B Můstek → B Florenc;173 585
A Staroměstská → A Náměstí Míru;173 480
A Staroměstská → A Hradčanská;173 422
C Vyšehrad → C Chodov;173 248
B Národní třída → B Zličín;173 242
B Lužiny → B Zličín;171 781
A Hradčanská → A Staroměstská;170 857
A Staroměstská → A Muzeum;170 821
B Vysočanská → B Českomoravská;170 681
B Českomoravská → B Vysočanská;170 667
B Hůrka → B Náměstí Republiky;170 617
C Hlavní nádraží → C Střížkov;170 127
C Háje → C Pražského povstání;169 993
B Lužiny → B Náměstí Republiky;169 397
C Vyšehrad → C Florenc;169 275
B Národní třída → B Vysočanská;169 048
B Karlovo náměstí → B Jinonice;168 594
A Bořislavka → A Petřiny;168 142
C Háje → C Vyšehrad;167 823
A Nádraží Veleslavín → A Petřiny;167 615
B Karlovo náměstí → B Křižíkova;167 497
A Malostranská → A Nádraží Veleslavín;167 391
A Staroměstská → A Skalka;166 732
B Nové Butovice → B Florenc;166 264
C Nádraží Holešovice → C Pankrác;166 225
A Hradčanská → A Želivského;166 039
B Smíchovské nádraží → B Českomoravská;165 973
A Dejvická → C Budějovická;165 526
A Malostranská → A Muzeum;165 306
C Kobylisy → C Střížkov;165 306
C Vyšehrad → C Kačerov;165 255
A Želivského → A Skalka;164 992
C Střížkov → C I. P. Pavlova;164 878
C Střížkov → C Kobylisy;164 292
C Prosek → C Kobylisy;163 439
C Střížkov → C Ládví;163 365
C Střížkov → C Muzeum;163 337
C Vltavská → C Chodov;163 326
A Bořislavka → A Muzeum;163 249
A Náměstí Míru → A Strašnická;163 099
C Kačerov → C Nádraží Holešovice;163 069
B Vysočanská → B Křižíkova;162 564
B Hloubětín → B Náměstí Republiky;162 252
A Nádraží Veleslavín → A Malostranská;162 169
A Želivského → A Hradčanská;162 016
B Českomoravská → B Karlovo náměstí;161 826
A Flora → A Staroměstská;161 817
C Kobylisy → C Pražského povstání;161 041
B Náměstí Republiky → B Hloubětín;160 352
B Českomoravská → B Palmovka;160 178
C Pražského povstání → C Háje;160 104
A Náměstí Míru → A Želivského;160 095
B Florenc → B Náměstí Republiky;159 525
A Bořislavka → A Hradčanská;159 432
A Jiřího z Poděbrad → A Dejvická;159 351
C Nádraží Holešovice → C Kačerov;159 277
B Zličín → B Hůrka;159 207
B Stodůlky → B Náměstí Republiky;159 093
A Skalka → A Nádraží Veleslavín;158 893
A Hradčanská → A Nemocnice Motol;158 739
A Flora → A Nádraží Veleslavín;158 529
C Budějovická → A Dejvická;157 785
C Letňany → C Budějovická;157 712
A Nádraží Veleslavín → A Želivského;157 301
A Želivského → A Nádraží Veleslavín;156 698
A Dejvická → B Černý Most;156 272
C Ládví → C Střížkov;155 931
B Černý Most → A Dejvická;155 418
A Staroměstská → A Bořislavka;155 157
A Muzeum → A Můstek;154 587
A Hradčanská → A Skalka;154 333
B Vysočanská → B Florenc;153 655
B Náměstí Republiky → B Hůrka;153 510
A Dejvická → A Hradčanská;153 443
B Rajská zahrada → B Můstek;153 202
B Zličín → B Florenc;153 134
A Jiřího z Poděbrad → A Staroměstská;152 990
C Pražského povstání → C Kobylisy;152 820
A Želivského → A Staroměstská;152 601
A Malostranská → A Dejvická;152 582
C Chodov → C Vltavská;152 406
C Prosek → C Nádraží Holešovice;152 173
B Lužiny → B Můstek;151 779
C Pražského povstání → C Vyšehrad;151 207
A Dejvická → B Anděl;151 075
A Strašnická → A Staroměstská;150 992
C Kobylisy → C Prosek;150 557
C Opatov → C Pražského povstání;150 302
B Náměstí Republiky → B Luka;150 032
A Petřiny → A Nádraží Veleslavín;149 279
A Muzeum → A Staroměstská;149 150
B Českomoravská → B Florenc;149 081
C Nádraží Holešovice → C Prosek;148 938
B Karlovo náměstí → B Národní třída;148 689
B Lužiny → B Luka;148 549
A Flora → A Želivského;148 043
B Náměstí Republiky → B Lužiny;148 009
A Nemocnice Motol → A Můstek;147 991
A Náměstí Míru → A Muzeum;147 467
C Střížkov → C Hlavní nádraží;147 308
A Strašnická → A Hradčanská;146 874
B Radlická → B Smíchovské nádraží;146 689
C Háje → C Roztyly;146 307
B Hůrka → B Zličín;145 867
A Jiřího z Poděbrad → A Muzeum;145 129
C Kobylisy → C Vyšehrad;144 758
B Náměstí Republiky → B Stodůlky;144 703
A Skalka → A Malostranská;144 453
B Hůrka → B Můstek;143 800
A Staroměstská → A Želivského;143 734
B Hloubětín → B Rajská zahrada;143 387
B Nové Butovice → B Radlická;143 058
C Kačerov → A Dejvická;142 763
C Budějovická → C Letňany;142 385
B Křižíkova → B Smíchovské nádraží;142 055
C Vltavská → C Pražského povstání;142 038
C Pankrác → C Nádraží Holešovice;142 030
A Dejvická → C Kačerov;141 170
B Smíchovské nádraží → A Dejvická;140 984
B Českomoravská → B Smíchovské nádraží;140 830
B Florenc → B Českomoravská;140 801
A Hradčanská → A Strašnická;140 771
A Náměstí Míru → A Bořislavka;140 656
C Pražského povstání → C Opatov;140 505
C Nádraží Holešovice → C Chodov;139 764
B Florenc → B Vysočanská;139 526
C Pražského povstání → C Vltavská;139 439
B Křižíkova → B Vysočanská;139 323
A Malostranská → A Jiřího z Poděbrad;139 295
A Muzeum → A Malostranská;138 940
A Bořislavka → A Malostranská;138 862
C Ládví → C Budějovická;138 159
A Staroměstská → A Flora;137 859
A Strašnická → A Flora;137 395
A Staroměstská → A Strašnická;137 296
A Hradčanská → A Flora;136 864
C Opatov → C Roztyly;136 698
B Můstek → B Lužiny;136 580
C Roztyly → C Muzeum;136 364
B Můstek → B Hůrka;136 343
B Florenc → B Zličín;136 041
B Florenc → B Rajská zahrada;135 900
B Hloubětín → B Můstek;135 841
B Anděl → B Rajská zahrada;135 724
B Florenc → B Nové Butovice;135 631
C Prosek → C Ládví;135 615
C Roztyly → C Háje;135 264
B Můstek → B Hloubětín;134 794
B Rajská zahrada → B Hloubětín;134 228
B Anděl → B Radlická;134 135
C Prosek → C Letňany;133 630
B Hloubětín → B Anděl;133 164
B Náměstí Republiky → B Křižíkova;133 044
A Strašnická → A Jiřího z Poděbrad;132 702
B Stodůlky → B Luka;132 650
C Opatov → C Vyšehrad;132 490
C Prosek → C Florenc;132 462
C Roztyly → C Opatov;132 200
C Nádraží Holešovice → B Anděl;132 008
B Rajská zahrada → B Anděl;131 940
B Můstek → B Luka;131 936
B Karlovo náměstí → B Rajská zahrada;131 581
B Křižíkova → B Náměstí Republiky;131 559
C Florenc → C Prosek;131 491
A Želivského → A Jiřího z Poděbrad;131 249
C I. P. Pavlova → C Prosek;131 177
B Lužiny → B Hůrka;131 108
B Křižíkova → B Karlovo náměstí;131 027
B Luka → B Náměstí Republiky;130 899
B Stodůlky → B Můstek;130 666
A Bořislavka → A Náměstí Míru;130 577
B Palmovka → B Křižíkova;130 203
B Florenc → B Palmovka;130 196
C Hlavní nádraží → B Anděl;130 156
C Hlavní nádraží → A Nádraží Veleslavín;130 061
A Jiřího z Poděbrad → A Hradčanská;129 980
